id,videojuego_id,cliente_id,monto,fecha
1,A002,1000000001,59.99,20-10-2025
2,R003,1000000003,49.99,21-10-2025
3,D006,1000000007,69.99,22-10-2025
4,S010,1000000010,14.99,23-10-2025
5,A012,1000000005,19.99,24-10-2025
6,R014,1000000013,59.99,25-10-2025
7,A001,1000000015,69.99,26-10-2025
8,E004,1000000002,29.99,27-10-2025
9,S005,1000000009,39.99,28-10-2025
10,A013,1000000017,14.99,29-10-2025
11,C016,1000000004,29.99,30-10-2025
12,A187,1000000020,59.99,01-11-2025
13,R008,1000000022,34.99,02-11-2025
14,D188,1000000011,69.99,03-11-2025
15,S193,1000000025,24.99,04-11-2025
16,A194,1000000006,19.99,05-11-2025
17,D195,1000000014,9.99,06-11-2025
18,R199,1000000019,24.99,07-11-2025
19,C196,1000000008,5.99,08-11-2025
20,A009,1000000021,49.99,09-11-2025
